"Segments"
"Segment.id","StartNode.id","EndNode.id","StartNode.pos.x","StartNode.pos.y","StartNode.pos.z","EndNode.pos.x","EndNode.pos.y","EndNode.pos.z","Segment.pr_edge_checked","Segment.dijkstra.indicator","Segment.dijkstra.flipped","Segment.dijkstra.visited","Segment.component","StartNode.label","EndNode.label","StartNode.pr_vertex_checked","EndNode.pr_vertex_checked","StartNode.pr_adjacency_checked","EndNode.pr_adjacency_checked","StartNode.dijkstra.vertex_distance","EndNode.dijkstra.vertex_distance","StartNode.dijkstra.weight_distance","EndNode.dijkstra.weight_distance","StartNode.dijkstra.root","EndNode.dijkstra.root","StartNode.dijkstra.generation","EndNode.dijkstra.generation","StartNode.dijkstra.accepted","EndNode.dijkstra.accepted","StartNode.degree.in","EndNode.degree.in","StartNode.degree.out","EndNode.degree.out","StartNode.degree.total","EndNode.degree.total","StartNode.component","EndNode.component"
79,113,80,-7.1386566,16.117182,-1031.8832,1.9662129,4.5492067,-1030.0167,0,1,0,0,0,114,81,0,0,0,0,2,3,2,3,64,64,3,4,1,1,1,1,4,1,5,2,0,0
80,70,72,17.667738,13.503281,-1033.8063,32.95715,11.222616,-1033.4121,0,1,0,0,0,71,73,0,0,0,0,4,5,4,5,64,64,5,6,1,1,1,1,1,2,2,3,0,0
81,73,71,9.2425718,-47.937744,-1034.3555,15.246167,-49.939781,-1036.4509,0,1,0,0,1,74,72,0,0,0,0,6,7,6,7,51,51,7,8,1,1,1,1,2,0,3,1,1,1
82,73,83,9.2425718,-47.937744,-1034.3555,9.8677111,-52.903229,-1030.2834,0,1,0,0,1,74,84,0,0,0,0,6,7,6,7,51,51,7,8,1,1,1,1,2,0,3,1,1,1
83,74,76,11.852911,-33.977276,-1031.0729,23.852983,-39.644554,-1033.4631,0,1,0,0,1,75,77,0,0,0,0,5,6,5,6,51,51,6,7,1,1,1,1,1,1,2,2,1,1
84,81,75,20.779119,-21.764601,-1030.1415,28.124186,-30.067749,-1034.2263,0,1,0,0,1,82,76,0,0,0,0,5,6,5,6,51,51,6,7,1,1,1,1,3,0,4,1,1,1
85,76,84,23.852983,-39.644554,-1033.4631,26.117476,-42.912041,-1029.0372,0,1,0,0,1,77,85,0,0,0,0,6,7,6,7,51,51,7,8,1,1,1,1,1,0,2,1,1,1
86,80,86,1.9662129,4.5492067,-1030.0167,5.5131679,3.9974649,-1016.1112,0,1,0,0,0,81,87,0,0,0,0,3,4,3,4,64,64,4,5,1,1,1,1,1,1,2,2,0,0
87,81,87,20.779119,-21.764601,-1030.1415,28.652803,-21.996279,-1024.1647,0,1,0,0,1,82,88,0,0,0,0,5,6,5,6,51,51,6,7,1,1,1,1,3,0,4,1,1,1
88,81,88,20.779119,-21.764601,-1030.1415,21.55423,-29.636293,-1022.7167,0,1,0,0,1,82,89,0,0,0,0,5,6,5,6,51,51,6,7,1,1,1,1,3,0,4,1,1,1
89,86,89,5.5131679,3.9974649,-1016.1112,14.986032,-7.7955985,-1014.3393,0,1,0,0,0,87,90,0,0,0,0,4,5,4,5,64,64,5,6,1,1,1,1,1,2,2,3,0,0
90,89,90,14.986032,-7.7955985,-1014.3393,16.382063,-15.182037,-1008.6741,0,1,0,0,0,90,91,0,0,0,0,5,6,5,6,64,64,6,7,1,1,1,1,2,0,3,1,0,0
91,89,91,14.986032,-7.7955985,-1014.3393,17.865215,-8.0896139,-1008.6974,0,1,0,0,0,90,92,0,0,0,0,5,6,5,6,64,64,6,7,1,1,1,1,2,0,3,1,0,0
92,94,95,-20.877035,-23.550037,-1071.9237,-14.557452,-34.858421,-1078.9225,0,1,0,0,1,95,96,0,0,0,0,3,4,3,4,51,51,4,5,1,1,1,1,2,1,3,2,1,1
93,96,97,17.127478,5.5954952,-1090.34,24.315336,-6.230309,-1096.5463,0,1,0,0,2,97,98,0,0,0,0,0,1,0,1,96,96,1,2,1,1,0,1,1,1,1,2,2,2
94,97,98,24.315336,-6.230309,-1096.5463,31.700933,-13.621527,-1094.8829,0,1,0,0,2,98,99,0,0,0,0,1,2,1,2,96,96,2,3,1,1,1,1,1,0,2,1,2,2
95,100,99,10.098571,-35.185661,-1075.748,15.01786,-40.879295,-1071.344,0,1,0,0,1,101,100,0,0,0,0,4,5,4,5,51,51,5,6,1,1,1,1,1,0,2,1,1,1
96,102,103,15.264778,5.6639614,-1073.8555,29.01001,-3.8215652,-1076.2006,0,1,0,0,1,103,104,0,0,0,0,5,6,5,6,51,51,6,7,1,1,1,1,1,2,2,3,1,1
97,104,105,6.1390471,-30.867245,-1092.8304,9.9359255,-34.413662,-1102.7292,0,1,0,0,1,105,106,0,0,0,0,6,7,6,7,51,51,7,8,1,1,1,1,3,0,4,1,1,1
98,106,108,1.8261613,-27.511429,-1105.8892,-0.33398613,-30.401751,-1111.2537,0,1,0,0,1,107,109,0,0,0,0,6,7,6,7,51,51,7,8,1,1,1,1,1,0,2,1,1,1
99,109,110,-12.068409,10.187293,-1062.6945,-8.9109125,16.661201,-1074.5637,0,1,0,0,1,110,111,0,0,0,0,2,3,2,3,51,51,3,4,1,1,1,1,3,1,4,2,1,1
100,113,112,-7.1386566,16.117182,-1031.8832,-9.4653797,19.853216,-1031.1586,0,1,0,0,0,114,113,0,0,0,0,2,3,2,3,64,64,3,4,1,1,1,1,4,0,5,1,0,0
101,56,113,-15.62944,15.134153,-1041.7308,-7.1386566,16.117182,-1031.8832,0,1,0,0,0,57,114,0,0,0,0,1,2,1,2,64,64,2,3,1,1,1,1,1,4,2,5,0,0
102,113,111,-7.1386566,16.117182,-1031.8832,-11.067607,16.463282,-1029.7573,0,1,0,0,0,114,112,0,0,0,0,2,3,2,3,64,64,3,4,1,1,1,1,4,0,5,1,0,0
103,41,32,-12.712789,-0.11420837,-1058.254,-4.936131,-3.8386722,-1070.1017,0,1,0,0,1,42,33,0,0,0,0,1,2,1,2,51,51,2,3,1,1,1,1,3,1,4,2,1,1
104,109,20,-12.068409,10.187293,-1062.6945,-9.9030046,2.8846607,-1079.3989,0,1,0,0,1,110,21,0,0,0,0,2,3,2,3,51,51,3,4,1,1,1,1,3,1,4,2,1,1
105,92,109,-24.055508,8.8633938,-1064.2563,-12.068409,10.187293,-1062.6945,0,1,0,0,1,93,110,0,0,0,0,1,2,1,2,51,51,2,3,1,1,1,1,1,3,2,4,1,1
106,51,92,-24.082926,10.739728,-1046.9969,-24.055508,8.8633938,-1064.2563,0,1,0,0,1,52,93,0,0,0,0,0,1,0,1,51,51,1,2,1,1,0,1,3,1,3,2,1,1
107,104,7,6.1390471,-30.867245,-1092.8304,13.775229,-37.616402,-1097.1073,0,1,0,0,1,105,8,0,0,0,0,6,7,6,7,51,51,7,8,1,1,1,1,3,0,4,1,1,1
108,94,23,-20.877035,-23.550037,-1071.9237,-19.84763,-28.008406,-1081.9749,0,1,0,0,1,95,24,0,0,0,0,3,4,3,4,51,51,4,5,1,1,1,1,2,0,3,1,1,1
